run_accession	sample_accession	collection_date	fastq_ftp	country
SRR11494475	SAMN14546698	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/075/SRR11494475/SRR11494475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/075/SRR11494475/SRR11494475_2.fastq.gz	Australia: Victoria
SRR11494476	SAMN14546697	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/076/SRR11494476/SRR11494476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/076/SRR11494476/SRR11494476_2.fastq.gz	Australia: Victoria
SRR11494477	SAMN14546696	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/077/SRR11494477/SRR11494477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/077/SRR11494477/SRR11494477_2.fastq.gz	Australia: Victoria
SRR11494478	SAMN14546695	2020-03-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11494478/SRR11494478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11494478/SRR11494478_2.fastq.gz	Australia: Victoria
SRR11494480	SAMN14546693	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/080/SRR11494480/SRR11494480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/080/SRR11494480/SRR11494480_2.fastq.gz	Australia: Victoria
SRR11494481	SAMN14546692	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/081/SRR11494481/SRR11494481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/081/SRR11494481/SRR11494481_2.fastq.gz	Australia: Victoria
SRR11494482	SAMN14546691	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/082/SRR11494482/SRR11494482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/082/SRR11494482/SRR11494482_2.fastq.gz	Australia: Victoria
SRR11494483	SAMN14546690	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11494483/SRR11494483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11494483/SRR11494483_2.fastq.gz	Australia: Victoria
SRR11494488	SAMN14546686	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/088/SRR11494488/SRR11494488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/088/SRR11494488/SRR11494488_2.fastq.gz	Australia: Victoria
SRR11494491	SAMN14546683	2020-03-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/091/SRR11494491/SRR11494491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/091/SRR11494491/SRR11494491_2.fastq.gz	Australia: Victoria
